"","COUNTY","YEAR_1","CASEID_1","BLS_CAREHH_KID_1","BLS_CAREHH_KIDEDUC_1","BLS_CAREHH_KIDHEALTH_1","BLS_CAREHH_KIDOTHER_1","BLS_EDUC_1","BLS_FOOD_1","BLS_HHACT_HHMGMT_1","BLS_LEIS_ARTS_1","BLS_LEIS_ATTEND_1","BLS_LEIS_ATTSPORT_1","BLS_LEIS_PARTSPORT_1","BLS_LEIS_RELAX_1","BLS_LEIS_SOC_1","BLS_LEIS_SPORT_1","BLS_LEIS_TV_1","BLS_PCARE_1","BLS_PCARE_HEALTH_1","BLS_PURCH_BANK_1","BLS_PURCH_CONS_1","BLS_PURCH_GROC_1","BLS_PURCH_HEALTH_1","BLS_PURCH_HHSERV_1","BLS_PURCH_PCARE_1","BLS_PURCH_PROF_1","BLS_SOCIAL_RELIG_1","BLS_SOCIAL_VOLACT_1","BLS_WORK_OTHER_1","BLS_WORK_WORKING_1","BLS_WORK_WORKREL_1"
"57",12011,2019,20190709148152.7,42.8297872340426,3.19148936170213,21.1702127659574,18.468085106383,30.9574468085106,73.8510638297872,23.6170212765957,2.5531914893617,0,0,32.2765957446809,239.659574468085,283.063829787234,33.6595744680851,167.31914893617,576.808510638298,1.04255319148936,0.212765957446809,20.6382978723404,5.95744680851064,4,0,0,4.21276595744681,23.4255319148936,9.8936170212766,2.5531914893617,140.063829787234,0
"58",12019,2019,20190773191132,4,0,0,4,0,128.666666666667,0.833333333333333,0,0,0,0,231.333333333333,303.333333333333,0,162.166666666667,553.5,0.333333333333333,0.833333333333333,65.8333333333333,3.33333333333333,0,0,0,0.833333333333333,30,0,0,95,0
"59",12021,2019,20190655791563.2,0,0,0,0,0,86.5,74.3,6,13.5,0,64,360.2,382.7,64,248.5,545.7,0,0,41,12,0,0,0,0,25,0,0,3,0
"60",12033,2019,20190720189782.9,11.125,0,0,11.125,18.75,43.125,10,0,63.5,0,13.75,465.5,536.5,13.75,326.875,506.875,0,5,19,3.125,5.625,3.75,0,10.625,0,0,0,118.25,0
"61",12053,2019,20190784438970.8,35,0,0,35,0,67.5,0,0,0,0,0,204.75,238.5,0,197.25,626.25,0,0,15,0,0,0,0,0,0,0,0,295,0
"62",12057,2019,20190735932919.1,62.6774193548387,11.6129032258065,1.93548387096774,49.1290322580645,1.93548387096774,53.8709677419355,13.2903225806452,7.19354838709677,0,0,11.6129032258065,225.741935483871,276.516129032258,11.6129032258065,173.870967741935,606.870967741935,3.38709677419355,0,10.3548387096774,2.09677419354839,8.41935483870968,0,5.80645161290323,14.8709677419355,10,0,0,166.483870967742,0
"63",12069,2019,20190605024957,19.1666666666667,0,0,19.1666666666667,0,95.8333333333333,25.8333333333333,0,0,0,5,255.333333333333,255.333333333333,5,199.166666666667,621.666666666667,0,0,12.5,5,30.3333333333333,0,0,30.3333333333333,0,0,0,156.166666666667,0
"64",12071,2019,20190615190638.5,10.7272727272727,1.54545454545455,0,9.18181818181818,10.9090909090909,70.1818181818182,5.90909090909091,0,0,0,5.45454545454545,190,231.363636363636,5.45454545454545,149.090909090909,584.545454545455,0.909090909090909,0,12.6363636363636,7.27272727272727,1.36363636363636,8.18181818181818,0,1.36363636363636,23.6363636363636,0,0,260.454545454545,0
"65",12083,2019,20190632189672.8,15.5833333333333,2.5,0,13.0833333333333,0,95.25,1.5,0,11.25,0,37.5,265.333333333333,284,37.5,208,560.25,0.833333333333333,0,34.1666666666667,3.33333333333333,0,5,0,2.5,27.9166666666667,8.33333333333333,0,118.333333333333,0
"66",12085,2019,20190645591487.9,30.5,6,0,24.5,0,89,11,0,0,0,39,189.2,195.7,39,168.8,660,0,0,19,9,11,1,0,11,0,23.5,0,114.3,4.5
"67",12086,2019,20190642542197.7,35.1228070175439,4.29824561403509,0,30.8245614035088,13.6491228070175,73.0701754385965,22.5964912280702,2.89473684210526,20.9473684210526,3.50877192982456,24.5614035087719,251.929824561404,323.80701754386,28.0701754385965,184.59649122807,575.385964912281,0.43859649122807,0,26.9298245614035,10,0,0.789473684210526,1.57894736842105,1.57894736842105,13.859649122807,1.05263157894737,0.789473684210526,115.070175438596,0
"68",12095,2019,20190716320520.3,22.6521739130435,0,0,22.6521739130435,26.9565217391304,68.6086956521739,10.1739130434783,10.4347826086957,5.21739130434783,0,19.1304347826087,272.173913043478,319.260869565217,19.1304347826087,165.478260869565,565.478260869565,5.21739130434783,0.434782608695652,52.6086956521739,12.1739130434783,5.95652173913043,0,0,6.39130434782609,18.4782608695652,6.82608695652174,0,129.782608695652,0
"69",12099,2019,20190637689888.2,26.6904761904762,2.14285714285714,0,24.547619047619,28.1190476190476,64.7380952380952,7.76190476190476,5.71428571428571,12.2142857142857,0,19.2380952380952,210.071428571429,267.904761904762,19.2380952380952,143.428571428571,603.309523809524,4.64285714285714,0.357142857142857,28.9761904761905,6.54761904761905,0.714285714285714,2.02380952380952,1.07142857142857,2.14285714285714,9.11904761904762,5.11904761904762,0,179.833333333333,0
"70",12101,2019,20190597008730.5,46.7272727272727,7.72727272727273,0,39,16.3636363636364,62.4545454545455,8.18181818181818,0,26.8181818181818,0,18.1818181818182,323.818181818182,374.818181818182,18.1818181818182,233.909090909091,516.545454545455,0.909090909090909,0,8.36363636363636,0,0,0,0,0,5.45454545454545,0,0,157.545454545455,0
"71",12103,2019,20190783225539.8,13.8965517241379,1.55172413793103,0,12.3448275862069,2.06896551724138,71.1034482758621,16.2068965517241,5.51724137931035,0,0,14.8275862068966,346.793103448276,399.206896551724,14.8275862068966,285.241379310345,527.344827586207,0,0,25.9310344827586,14.8275862068966,4.03448275862069,1.37931034482759,0,8.17241379310345,8.79310344827586,12.5862068965517,0,145.862068965517,0
