Table with column headers in row 3,,,,,,
"2020 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2021",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,03240,Gadsden Elementary District,"28,117","4,449","1,058"
AZ,04,03290,Ganado Unified District,"7,210","1,502",591
AZ,04,03310,Gila Bend Unified District,"2,894",542,183
AZ,04,03400,Gilbert Unified District,"221,225","45,698","3,182"
AZ,04,03420,Glendale Elementary District,"117,034","16,774","4,437"
AZ,04,03450,Glendale Union High School District,"387,818","20,910","3,998"
AZ,04,03500,Globe Unified District,"10,763","1,653",288
AZ,04,03550,Grand Canyon Unified District,"2,784",198,45
AZ,04,03660,Hackberry School District,"1,311",97,17
AZ,04,03730,Hayden-Winkelman Unified District,"1,360",201,43
AZ,04,00026,Heber-Overgaard Unified District,"4,270",477,145
AZ,04,03780,Higley Unified District,"77,624","16,392",969
AZ,04,08460,Hillside Elementary District,151,23,2
AZ,04,03820,Holbrook Unified District,"10,988","2,231",606
AZ,04,03870,Humboldt Unified District,"58,175","8,221",965
AZ,04,03900,Hyder Elementary District,818,112,20
AZ,04,03950,Indian Oasis-Baboquivari Unified District,"7,766","1,627",655
AZ,04,03960,Isaac Elementary District,"51,705","8,523","2,714"
AZ,04,03990,J. O. Combs Unified School District,"44,617","9,694",715
AZ,04,04010,Joseph City Unified District,"1,873",416,125
AZ,04,04060,Kayenta Unified District,"10,929","2,555",860
AZ,04,00295,Kingman Unified School District,"70,938","8,394","1,815"
AZ,04,04170,Kirkland Elementary District,"1,288",140,34
AZ,04,04200,Klondyke Elementary District,70,6,2
AZ,04,04230,Kyrene Elementary District,"180,666","19,694","1,502"
AZ,04,04280,Lake Havasu Unified District,"60,252","6,402","1,149"
AZ,04,04290,Laveen Elementary District,"49,109","7,331","1,265"
AZ,04,04320,Liberty Elementary District,"28,730","4,257",452
AZ,04,04380,Litchfield Elementary District,"91,274","11,959","1,113"
AZ,04,04410,Littlefield Unified District,"4,261",563,168
AZ,04,04440,Littleton Elementary District,"46,877","7,132","1,092"
